"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8957(Em análise pelo Turismo de Portugal, I.P.)";"Casa da São";"Casa da São";;"Por reconverter";"8";"4";"0";"Rua Monte dos Moreiras, 3 - Aldeia da Venda";"7200-011";"Santiago Maior";"Alandroal";"Évora";"963153639";;"reservascasadasao@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Camila Maria Alves Pronto";"Turismo de Portugal, I.P., ";"2000";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8955(Em análise pelo Turismo de Portugal, I.P.)";"Savoy Palace";"Savoy Signature";"*****";"Classificado em projeto";"1128";"559";"4";"Avenida do Infante, nº 25";"9004-542";"Funchal";"Funchal";"Ilha da Madeira";"291213000";"291213530";"geral@savoysignature.com";"www.savoysignature.com";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"13";"Sim";"1000";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Sim";;;"SAVOY -  INVESTIMENTOS TURISTICOS, S. A.";;"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8954";"Casa do Moinho-Ovar";"Casa do Moinho-Ovar";;"Classificado em auditoria";"8";"4";"1";"Rua da Chavinha-Casa do Moinho";"3880-717";"São João Ovr";"Ovar";"Aveiro";"961121365";;"casamoinho@sapo.pt";;"Turismo do Centro de Portugal";"Centro";"Região de Aveiro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Pawlak";;;"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8953";"Holiday Inn Express Porto City Centre";"Holiday Inn Express";"***";"Classificado em auditoria";"208";"105";"1";"Rua de Santa Catarina, n.º 661 e 663/Rua Guedes de Azevedo, N.º 34";"4000-454";"Porto";"Porto";"Porto";"222448900";;"hieportocitycentre@newpalm.pt";"https://www.hieportocentro.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";"2020-10-01->2020-12-31 Ano em causa:2020, ";"Sim";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;"Certificação Energética";"Newpalm, S.A.";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8950";"Casa da Veiga";;;"Classificado em auditoria";"10";"5";"0";"Rua Ponte da Veiga 416";"4950-700";"Riba de Mouro";"Monção";"Viana do Castelo";"917412229";;"carlos.caraujo@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CARLOS PEREIRA ARAUJO UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
"Apartamento Turístico";"8949";"AQUA - Pópulo Eco Village";;"****";"Classificado em auditoria";"22";"7";"0";"Estrada Regional do Pópulo, 115";"9500-609";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"964087993";;"reservations@aquapopulo.com";"aquapopulo.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"FHI Midatlantic Atividades Turísticas e Serviços";"Outra, ";"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8948";"Quinta dos Pinheirais";"Quinta dos Pinheirais";;"Classificado em auditoria";"10";"5";"1";"Rua do Mosteiro nº 142";"4605-457";"Travanca Amt";"Amarante";"Porto";"968497056";;"info@quintadospinheirais.pt";"www.quintadospinheirais.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Sim";"300";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CARLOS MANUEL MENDES CARVALHO SOCIEDADE UNIPESSOA";;"2015";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8947";"Herdade do Ananás";"Herdade do Ananás";;"Classificado em auditoria";"16";"8";"0";"Canada dos Prestes de Cima, n.º 21";"9500-450";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"919294000";;"herdadedoananas@gmail.com";"www.herdadedoananas.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;"GreenKey 2019";"SOUSA COSTA DIAS UNIPESSOAL LDA";;"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8943";"Quinta da Meia Eira";"Quinta da Meia Eira";;"Por reconverter";"14";"8";"0";"Rua dos Inocentes";"9900-323";"Castelo Branco Hrt";"Horta";"Ilha do Faial";"965435925";;"info@meiaeira.com";"meiaeira.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";"Quality + ; Marca Açores; HACCP";"Chave Verde; Miosotis";"Francisco Gabriel de Medeiros Faria Ribeiro";;"2003";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8938";"Peso Village";;;"Classificado em auditoria";"10";"5";"1";"Rua da Quinta do Peso n.º 85";"4600-643";"Gondar Amt";"Amarante";"Porto";"914406654";;"geral@quintadopeso.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOCIEDADE AGRICOLA QUINTA DO PESO LDA";;;"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8936";"Hotel Vila Galé Serra da Estrela";"Vila Galé";"****";"Classificado em auditoria";"182";"91";"1";"Fonte Santa";"6260-013";"Manteigas";"Manteigas";"Guarda";"272240020";;"estrela@vilagale.com";"www.vilagale.com";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";"2020-04-14->2020-06-05 Ano em causa:2020, 2020-06-06->2020-06-08 Ano em causa:2020, ";"Não";"---";"2";"Sim";"221";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE INTERNACIONAL INVESTIMENTOS TURISTICOS";;"2020";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"8935";"Parque de Campismo da Relva da Reboleira";;"Sem atribuição de *";"Por reconverter";"150";"0";"0";"Sitio da Relva da Reboleira";"6260-048";"Manteigas";"Manteigas";"Guarda";"968639686";;"bernardo.santos@saboresaltaneiros.pt";"www.skiparque.pt";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Santos";;"2001";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8934";"Quinta da Dourada";"Quinta da Dourada";;"Classificado em auditoria";"8";"4";"0";"Parque Natural da Serra de S.Mamede -Ribeira de Niza";"7300-409";"Reguengo";"Portalegre";"Portalegre";"937218654";;"reservas@quintadadourada.pt";"www.quintadadourada.pt";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";"2020-03-10->2020-05-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;"Chave Verde";"QUEST?ES E SENSA??ES UNIPESSOAL LDA";"Programa Operacional Regional do Alentejo, ";"2004";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8932(Em análise pelo Turismo de Portugal, I.P.)";"Villa Extramuros";"Villa Extramuros";;"Classificado em auditoria";"5";"5";"0";"Predio rustico Carrasco. Estrada das Hortas. CP 209";"7040-114";"Arraiolos";"Arraiolos";"Évora";"266429506";;"info@villaextramuros.com";"villaextramuros.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"REFUGIO GLOBAL LDA";;"2013";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8931";"Monte Velho";;;"Classificado em auditoria";"20";"10";"0";"Herdade do Monte Velho - Carrapateira";"8670-230";"Bordeira";"Aljezur";"Faro";"282973207";;"reception@montevelhoecoretreats.com";"www.montevelhoretreatcentre.com";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-12-19->2021-01-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOC TURISTICA DA CARRAPATEIRA LDA";;"2001";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8929";"Exe Saldanha";"Eurostars Hotel Company";"***";"Classificado em auditoria";"260";"130";"1";"Avenida Defensores de Chaves n.º 5";"1000-109";"Lisboa";"Lisboa";"Lisboa";"211166400";;"manager@exesaldanha.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-04-15->2020-09-30 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"PERFEITO DIAMANTE S A";;"2019";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"8924(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo São Torpes";"Campigir São Torpes";"***";"Classificado em projeto";"660";"0";"0";"Estrada Nacional 120, Herdade de Morgavel";"7520-075";"Sines";"Sines";"Setúbal";"269632105";;"geral@campigir.com";"www.campigir.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Litoral";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Sim";"Não";"Não";"Sim";;;"Escape - Sociedade de Campismo e Hotelaria de Ar Livre SA";"Turismo de Portugal, I.P., AICEP, ";"1992";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8923";"Casa da Cortiça";"Casa da Cortiça";;"Classificado em auditoria";"4";"2";"1";"Cx 221 - Gração - S Jorge e Ermelo";"4970-566";"São Jorge Avv";"Arcos de Valdevez";"Viana do Castelo";"917540404";;"rui@sobrenatura.com";"www.sobrenatura.com";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Sobrenatura Turismo, Lda.";;"2019";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"8922(Em análise pelo Turismo de Portugal, I.P.)";"Retiro da Fraguinha";"Fraguinha";"***";"Classificado em projeto";"250";"0";"0";"Lugar da Fraguinha s/n";"3660-043";"Candal";"São Pedro do Sul";"Viseu";"232395144";;"alvoradainesquecivel@gmail.com";"retirofraguinha.com";"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";;"Não";"---";"1";"Sim";"60";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Alvorada Inesquecível Lda";;"1994";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"8921(Em análise pelo Turismo de Portugal, I.P.)";"Beirais do Alvão";"Beirais do Alvão";;"Classificado em projeto";"3";"3";"1";"Largo da Capela, nº 36, Arnal";"5000-773";"Vila Real";"Vila Real";"Vila Real";"966362366";;"info@beiraisdoalvao.pt";"beirasidoalvao.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"BEIRAIS DO ALV?O UNIPESSOAL LDA";"Turismo de Portugal, I.P., ";"2020";"Não";"Não"
"Apartamento Turístico";"8920";"Braga Heritage Lofts";"Braga Heritage Lofts";"****";"Classificado em projeto";"20";"10";"1";"Rua Eça de Queirós, 98";"4700-315";"Braga";"Braga";"Braga";"253615085";;"welcome@bragaheritagelofts.pt";"https://bragaheritagelofts.com/home";"Turismo do Porto e Norte de Portugal";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CALHENO PINTO & GON?ALVES - INVESTIMENTOS TURISTI";;"2019";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8918";"OceanSesimbra";"Four Points by Sheraton Sesimbra";"****";"Por reconverter";"414";"207";"4";"Rua 4 de Maio Lote 50, Altinho de São João";"2970-621";"Sesimbra";"Sesimbra";"Setúbal";"210518370";;"raquel@irgroup.pt";"www.marriott.pt/hotels/travel/lisfp-four-points-";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-03-24->2020-06-30 Ano em causa:2020, ";"Não";"---";"1";"Sim";"850";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"OCEANSESIMBRA\, LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8915(Em análise pelo Turismo de Portugal, I.P.)";"Dream Guincho";"Dream Guincho";;"Classificado em projeto";"16";"8";"1";"Rua do Alto do Arneiro 65";"2755-150";"Alcabideche";"Cascais";"Lisboa";"935554343";;"info@dreamguincho.pt";"www.dreamguincho.pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Rollingpower Lda";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8914";"Almojanda 3oliveTree";;;"Classificado em auditoria";"8";"4";"4";"Herdade de Almojanda EN119 cxpostal 7304";"7300-373";"Fortios";"Portalegre";"Portalegre";"963474524";;"geral@almojanda3olivetree.com";"www.almojanda3olivetree.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Idiomas do Bosque Lda";"Programa Operacional Regional do Alentejo, ";"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8913";"Hotel Vila Galé Collection Alter Real";"Vila Galé";"****";"Classificado em auditoria";"154";"77";"1";"Tapada do Arneiro";"7440-152";"Alter do Chão";"Alter do Chão";"Portalegre";"245240130";;"alter@vilagale.com";"www.vilagale.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";"2020-03-16->2020-04-30 Ano em causa:2020, 2020-05-01->2020-06-08 Ano em causa:2020, ";"Sim";"---";"2";"Sim";"375";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE INTERNACIONAL INVESTIMENTOS TURISTICOS";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8907";"O2 B&B (O2 bed & breakfast)";;;"Classificado em auditoria";"12";"6";"1";"Rua da Escola Velha 57";"2540-329";"Carvalhal Bbr";"Bombarral";"Leiria";"924476140";;"otwobnb@gmail.com";"www.o2bnb.pt";"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"GUNTHER FREDERIK MARIE STEVENS";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8905(Em análise pelo Turismo de Portugal, I.P.)";"Montimerso Skyscape Countryhouse";"Montimerso Skyscape Countryhouse";;"Classificado em auditoria";"36";"17";"1";"Estrada Nacional n.º256, Herdade Geralda";"7200-178";"Monsaraz";"Reguengos de Monsaraz";"Évora";"962060988";;"geral.perfect.walk@gmail.com";"montimerso.pt";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"PERFECT WALK - LDA";"Programa Operacional Regional do Alentejo, ";"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8904";"Palácio São Silvestre Boutique Hotel";"Palácios São Silvestre";"****";"Classificado em projeto";"82";"41";"1";"Largo do Terreiro, nº 5";"3025-569";"São Silvestre";"Coimbra";"Coimbra";"239490050";;"geral@palaciosaosilvestre.com";"www.palaciosaosilvestre.com";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";"2020-03-18->2020-05-18 Ano em causa:2020, 2020-05-19->2020-06-04 Ano em causa:2020, ";"Não";"---";"0";"Sim";"120";"Sim";"Sim";"Não";"Não";"Sim";"Não";"Sim";;;"LOURO & FAJARDO - MONTAGEM DE REFRACT?RIOS E CONS";;"2020";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"8903";"Camping Puro Alentejo";"Camping Puro Alentejo";"Sem atribuição de *";"Classificado em projeto";"90";"0";"0";"Estrada Municipal 514, troço Barbacena-Monforte, Km 2,590";"7350-431";"Barbacena";"Elvas";"Portalegre";"966828740";;"campingpuroalentejo@gmail.com";"www.campingpuroalentejo.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Camping Puro Alentejo, Lda.";"Turismo de Portugal, I.P., ";"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8901";"The Optimistic Hotel Restaurant";;"**";"Classificado em auditoria";"60";"30";"1";"Avenida Almirante Reis 62E";"1150-020";"Lisboa";"Lisboa";"Lisboa";"211451798";;"director@the-optimistic.pt";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-03-17->2020-04-19 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"HH Suites, Lda";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8898";"Monte Papa Toucinho";"Monte Papa Toucinho";;"Classificado em projeto";"18";"9";"0";"Monte do Papa Toucinho";"7100-620";"São Bento de Ana Loura";"Estremoz";"Évora";"+34660333562";;"montepapatoucinho@gmail.com";"www.papatoucinho.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Pausas Requintadas, Lda";;"2019";"Não";"Não"
"Apartamento Turístico";"8897";"Avenida Park";"Turcongel";"***";"Classificado em projeto";"36";"12";"2";"Avenida 24 de Junho, N.º 21";"8950-417";"Altura";"Castro Marim";"Faro";"281950560 / 9";"281956274";"turcongel@sapo.pt";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"TURCONGEL TURISMO URBANIZACAO CONSTRUCAO E GESTAO SA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8894";"Casa do Lago dos Grous";;;"Por reconverter";"20";"10";"0";"Herdade dos Grous - Albernoa";"7800-001";"Beja";"Beja";"Beja";"284960000";;"vilalentejo@vilavitaparc.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";"2020-03-15->2020-06-20 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VILA VITA PORTUGAL ACTIVIDADES TURISTICAS HOTELEIRAS, LDA.";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8893";"Casa dos Grous";;;"Por reconverter";"12";"6";"0";"Herdade dos Grous - Albernoa";"7800-001";"Beja";"Beja";"Beja";"284960000";;"info@herdade-dos-grous.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";"2020-03-15->2020-06-20 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VILA VITA PORTUGAL ACTIVIDADES TURISTICAS HOTELEIRAS, LDA.";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8892";"Casa do Monte dos Grous";;;"Por reconverter";"20";"10";"0";"Herdade dos Grous - Albernoa";"7800-001";"Beja";"Beja";"Beja";"284960000";"284960072";"vilalentejo@vilavitaparc.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";"2020-03-15->2020-06-20 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VILA VITA PORTUGAL ACTIVIDADES TURISTICAS HOTELEIRAS, LDA.";;;"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8890";"MagnificatWine Boutique Hotel & SPA*****";"MagnificatWine Boutique Hotel & SPA";"*****";"Classificado em projeto";"88";"44";"2";"Rua Marechal Teixeira Rebelo 136";"5030-059";"Cumieira";"Santa Marta de Penaguião";"Vila Real";"259104910";;"info@magnificatwine.com";"www.magnificatwine.com/";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"2";"Sim";"150";"Sim";"Sim";"Sim";"Não";"Não";"Não";"Sim";;;"MagnificatWine Hotelaria e Serviços Lda.";"Turismo de Portugal, I.P., Outra, ";"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8889";"Moinho do Poço Verde - Moinho de Cacau";"Moinho do Poço Verde - Moinho de Cacau";;"Classificado em auditoria";"2";"1";"0";"Vila - Castro Laboreiro";"4960-061";"Castro Laboreiro";"Melgaço";"Viana do Castelo";"927343838";;"milhas.pergaminhos@gmail.com";"https://milhasepergaminhos.pt/";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MILHAS & PERGAMINHOS - UNIPESSOAL LDA";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8888(Em análise pelo Turismo de Portugal, I.P.)";"Casa Pelourinho";"Casa Pelourinho";;"Classificado em auditoria";"2";"2";"0";"rua aquiles goncalves nº27";"6290-121";"Melo";"Gouveia";"Guarda";"238745546";;"abreuisabel77@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ISABEL MARIA ABREU RODRIGUES";;;"Não";"Não"
"Estabelecimento Hoteleiro - Hotel-apartamento";"8884";"Praia do Sal";"Praia do Sal";"****";"Classificado em projeto";"148";"54";"1";"Passeio das Caravelas, n.º 88";"2890-510";"Alcochete";"Alcochete";"Setúbal";"+351 212343165";;"geral@praiadosal.com";"www.praiadosal.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"1";"Não";"0";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"MARMEQUER EMPREENDIMENTOS TURISTICOS E IMOBILIARI";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8883";"1/4 na Serra";"1/4 na Serra";;"Classificado em projeto";"2";"1";"0";"Barreira Branca, Senta";"2040-403";"Rio Maior";"Rio Maior";"Santarém";"243992610";;"info@casadoforal.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"URBILAZER EXPLORA??ES TURISTICAS LDA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8881";"Vegans By The Sea - Country Houses";"Vegans By The Sea - Country Houses";;"Classificado em projeto";"4";"2";"2";"Chaparralinho, Caixa Postal 1847, Brescos";"7500-014";"Vila Nova de Santo André";"Santiago do Cacém";"Setúbal";"968444574";;"everythingsvegan.lda@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Everything's Vegan, Unipessoal LDA";"Outra, ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8878";"Cerquido Village";;;"Classificado em auditoria";"8";"4";"0";"Rua Bouça de Abade, 240 e Rua do Curral Novo, 326 e 361";"4990-590";"Estorãos Ptl";"Ponte de Lima";"Viana do Castelo";"924429582";;"comunicacao@cerquidovillage.com";"www.cerquidovillage.com";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"NPIMENTA SOCIEDADE UNIPESSOAL LDA";"Turismo de Portugal, I.P., ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8877";"Refúgio do Raposo/ Casa DENEB";"Refúgio do Raposo";;"Classificado em projeto";"6";"3";"1";"Rua Principal s/n";"6150-115";"Montes da Senhora";"Proença-a-Nova";"Castelo Branco";"914655063";;"francisco.goncalves47@gmail.com";"www.refugiodoraposo.pt";"Turismo do Centro de Portugal";"Centro";"Beira Baixa";"2020-04-08->2020-04-30 Ano em causa:2020, ";"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"REFÚGIO DO RAPOSO";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"8874";"Hotel da Fábrica";;"***";"Classificado em projeto";"36";"18";"1";"Quinta de Santa Clara";"6260-162";"Manteigas";"Manteigas";"Guarda";"275981653";;"ecolaportugal@hotmail.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";;;"Esteves, Santos e Botelho, Lda";;;"Sim";"Não"
"Empreendimento de Turismo de Habitação";"8872(Em análise pelo Turismo de Portugal, I.P.)";"Quinta do Barreiro";"Quinta do Barreiro";;"Classificado em auditoria";"4";"2";"0";"Av. Nossa Sra. de Lourdes 88";"3510-602";"Couto de Cima";"Viseu";"Viseu";"232998096";;"geral@quintadobarreiro.pt";"www.quintadobarreiro.pt";"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";"2020-04-01->2020-06-01 Ano em causa:2020, ";"Não";"---";"0";"Sim";"350";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"M E AL ACTIVIDADES HOTELEIRAS S A";;"2013";"Sim";"Não"
